Stance,Name,FighterID,Country,WT Class,Team,DOB,Nickname,ReachInches,WeightPounds,HeightInches
Switch,David Abbott,2354050/david-abbott,USA,Heavyweight,,1965-07-16,Tank,,,
,Raleigh Abbott,4701289/raleigh-abbott,USA,Heavyweight,,1988-10-13,Rabid Rabbitt,,,
,Jamie Abdallah,4252425/jamie-abdallah,Australia,Light Heavyweight,,,,,205.0,72.0
,Mohammed Abdallah,4011880/mohammed-abdallah,,,,,,,,
,Hichame Abdallaoui,3127955/hichame-abdallaoui,,,,,,,,
,Mohamed Abdel Azim,4249248/mohamed-abdel-azim,,,,,,,,
,Atef Abdel Kawy,4249246/atef-abdel-kawy,,,,,,,,
,Anis Abdelli,2502709/anis-abdelli,,Middleweight,,,,,,
,Bouaziz Abderhaman,4868698/bouaziz-abderhaman,Belgium,,,,,,,
,Soli Abdeselam Mohamed,4239924/soli-abdeselam-mohamed,Spain,,,,,,,
,Imran Abdiev,4727571/imran-abdiev,Russia,,,,,,,
,Yusef Abdollah,3960393/yusef-abdollah,,,,,,,,
,Mostafa Abdollahi,4294257/mostafa-abdollahi,Iran,,,,,,,
,Akram Abdolmaleki,4289247/akram-abdolmaleki,,,,,,,,
,Carol Abdon,4233550/carol-abdon,,,,,,,,
,Jordano Abdon,4411891/jordano-abdon,,Bantamweight,,,,,,
,Abdoul Abdouraguimov,4245706/abdoul-abdouraguimov,France,Welterweight,Bulgarian Top Team,1995-08-01,The Conqueror,,170.0,70.0
,Melisbek Abdrakhmanov,4422104/melisbek-abdrakhmanov,Kyrgyzstan,,,,,,,
,Jabari Abduhl-Shakur,3571351/jabari-abduhl-shakur,,,,,,,,
,Eslam Abdul Baset,4905067/eslam-abdul-baset,Egypt,Middleweight,,1993-10-27,,,185.0,72.0
,Tajuddin Abdul Hakim,4238098/tajuddin-abdul-hakim,,Welterweight,,,,,,
,Muhammad Abdula,2516651/muhammad-abdula,,Lightweight,,,,,,
,Khasanbek Abdulaev,4348607/khasanbek-abdulaev,Russia,,,1991-11-28,,,,
,Khirzri Abdulaev,4820976/khirzri-abdulaev,Russia,,,1997-07-17,,,,
,Magomed Abdulaev,3960396/magomed-abdulaev,,,,,,,,
,Murad Abdulaev,3089019/murad-abdulaev,Russia,Welterweight,,,,,170.0,69.0
,Rasul Abdulaev,3156120/rasul-abdulaev,Russia,Welterweight,,,,,,
,Gasan Abdulakhmetov,4399096/gasan-abdulakhmetov,,,,,,,,
,Akim Abdulgalimov,4238116/akim-abdulgalimov,Ukraine,,,,,,,
,Ahmed Abdulkadirov,4693786/ahmed-abdulkadirov,Austria,Featherweight,,1994-11-25,,,,
,Arsen Abdulkerimov,4245464/arsen-abdulkerimov,,,,,,,,
,Shamil Abdulkerimov,2966186/shamil-abdulkerimov,,,,,,,,
,Zirodin Abdulkerimov,4237412/zirodin-abdulkerimov,Russia,,,,,,,
,Ali Abdulkhalikov,4413558/ali-abdulkhalikov,Russia,Lightweight,,,,,155.0,68.0
,Shamil Abdulkhalikov,3173100/shamil-abdulkhalikov,Russia,,,1989-01-10,,,,
,Amir Abdullaev,4422077/amir-abdullaev,Russia,,,,,,,
,Gadzhimurad Abdullaev,4712498/gadzhimurad-abdullaev,Russia,Welterweight,,,,,170.0,73.0
,Ilyas Abdullaev,4415077/ilyas-abdullaev,Kyrgyzstan,,,,,,,
,Khikmet Abdullaev,4911958/khikmet-abdullaev,Azerbaijan,,,,,,,
,Murad Abdullaev,3083669/murad-abdullaev,,,,,,,,
,Tahir Abdullaev,4394753/tahir-abdullaev,,,,,,,,
,Turganaly Abdullaev,4423247/turganaly-abdullaev,,,,,,,,
,Ahsan Abdullah,3099633/ahsan-abdullah,USA,,,1992-08-02,,,140.0,68.0
,Hedi Ben Abdullah,4012989/hedi-ben-abdullah,,,,,,,,
,Mohammed Abdullah,3896614/mohammed-abdullah,,Welterweight,,,,,,
,Muhammad Abdullah,3115941/muhammad-abdullah,USA,Middleweight,,1985-09-01,The Hurricane,,185.0,73.0
,Rashid Abdullah,2516653/rashid-abdullah,USA,,,1985-09-27,,,170.0,72.0
,Shamil Abdulmusilmov,3043696/shamil-abdulmusilmov,Russia,,,,,,,
,Vladimir Abdulov,3043330/vladimir-abdulov,,,,,,,,
,Abdul-Aziz Abdulvakhabov,4289499/abdul-aziz-abdulvakhabov,Russia,Lightweight,Fight Club Berkut,1989-01-16,Lion,,155.0,69.0
,Ramazan Abdulzhalilov,3039379/ramazan-abdulzhalilov,,,,,,,,
,Valid Abdurachmanov,4294899/valid-abdurachmanov,Austria,,,,,,,
,Magomed Abdurahimov,3900792/magomed-abdurahimov,,,,,,,,
,Salamu Abdurahmanov,4415088/salamu-abdurahmanov,Russia,Middleweight,,,,,185.0,72.0
Orthodox,Shamil Abdurakhimov,2558062/shamil-abdurakhimov,Russia,Heavyweight,Peresvet FT,1981-09-02,Abrek,76.0,258.0,75.0
,Muzaffar Abdurakhmanov,4075743/muzaffar-abdurakhmanov,,,,,,,,
,Rustam Abdurapov,3094533/rustam-abdurapov,,,,,,,,
,Arsen Abdurashidov,3165963/arsen-abdurashidov,,,,,,,,
,Rashidhan Abdurashidov,4869431/rashidhan-abdurashidov,Russia,,,,,,,
,Kurbanali Abdusalamov,4231933/kurbanali-abdusalamov,,,,,,,,
,Aygul Abduvakhid,4698872/aygul-abduvakhid,Kyrgyzstan,,,,,,,
,Bekbolot Abdylda,4423245/bekbolot-abdylda,,,,,,,,
Orthodox,Daichi Abe,4046608/daichi-abe,Japan,Welterweight,HMC,1991-11-27,,71.0,170.0,71.0
Orthodox,Hiroyuki Abe,2499298/hiroyuki-abe,,Flyweight,,,Abe Ani,,,
Orthodox,Masatoshi Abe,2951001/masatoshi-abe,,Flyweight,,,,,,
,Yoshitaka Abe,3084184/yoshitaka-abe,Japan,,,1981-07-20,,,,
,Mohammad Abed,4357565/mohammad-abed,,,,,,,,
Southpaw,Papy Abedi,2567565/papy-abedi,Sweden,,Allstars Training Center,1978-06-30,Makambo,,,
,Mark Abelardo,3892477/mark-abelardo,New Zealand,Bantamweight,,1991-10-18,Tyson,,135.0,65.0
,Alan Abeles,4422024/alan-abeles,,,,,,,,
,Yedike Abelian,3895815/yedike-abelian,Armenia,,,,,,,
,Nathan Aber,3102121/nathan-aber,,,,,,,,
,Joseph Abercrombie,2559790/joseph-abercrombie,,Featherweight,,,,,,
,Jason Abernathy,3165846/jason-abernathy,,,,,,,,
,Helio Abicassiz,3146339/helio-abicassiz,,,,,,,,
,Dastan Abidimitalipuulu,4035985/dastan-abidimitalipuulu,,,,,,,,
,Isa Abiev,3151935/isa-abiev,,,,,,,,
,Ruslan Abiltarov,3098602/ruslan-abiltarov,,,,,,,,
,Alexandre Abin,2970372/alexandre-abin,,Lightweight,,,,,,
,Jazor Ablasi,3032167/jazor-ablasi,Philippines,,,1983-05-28,,,,
,Marvin Aboeli,4410532/marvin-aboeli,,,,,,,,
,Joe Abouata,2990885/joe-abouata,USA,,,1982-07-19,,,,
,Josh Abraham,4330062/josh-abraham,,,,,,,,
,Tuirangi Abraham,4231944/tuirangi-abraham,,,,,,,,
,Derek Abram,2555998/derek-abram,,,,,,,,
,Mariusz Abramiuk,3022396/mariusz-abramiuk,,,,1988-08-28,,,,
,Dean Abramo,4830351/dean-abramo,Australia,,,,,,,
,Neal Abrams,2977005/neal-abrams,,Lightweight,,,,,,
,Ed Abrasley,4324546/ed-abrasley,,,,,,,,
,Brandon Abrego,4243448/brandon-abrego,,,,,,,,
,Ruslan Abrekov,4708161/ruslan-abrekov,France,,,1990-07-03,,,145.0,68.0
,Araripe Abreu,4237539/araripe-abreu,Brazil,,,,,,,
,Carlos Abreu,4909334/carlos-abreu,Brazil,Bantamweight,,1992-05-12,Crocodilo,,135.0,65.0
,Fabio Abreu,3417393/fabio-abreu,Brazil,,,1983-11-24,,,,
Orthodox,Klidson Abreu,4347303/klidson-abreu,Brazil,Light Heavyweight,Evolucao Thai,1992-12-24,White Bear,75.0,258.0,74.0
,Lucio Abreu,3061088/lucio-abreu,,,,1989-11-05,,,,
Orthodox,Ricardo Abreu,3108778/ricardo-abreu,Brazil,Middleweight,,1984-04-27,Demente,,,
,Roberto Abreu,3076800/roberto-abreu,,,,,,,,
,Micah Abreu-Laybon,4581350/micah-abreu-laybon,,,,,,,,
,Garik Abriamiani,4291169/garik-abriamiani,Georgia,,,,,,,
,Mark Joseph Abrillo,4059132/mark-joseph-abrillo,Philippines,,,,,,,
,Daniel Abrol,3146924/daniel-abrol,,,,,,,,
,Kevin Absher,3154882/kevin-absher,,,,,,,,
,Adriano Abu,2501245/adriano-abu,,Lightweight,,,,,,
,Mumia Abu Dey-Ali,4869323/mumia-abu-dey-ali,USA,,,,,,170.0,74.0
,Mohammed Abu Naim,4845295/mohammed-abu-naim,Palestine,,,,,,,
,Rizvan Abuev,4295764/rizvan-abuev,Russia,,,,,,,
,Roldan Abundis,4375608/roldan-abundis,,,,,,,,
,Aaron Aby,4083014/aaron-aby,Wales,Flyweight,MMA Academy Liverpool,,,,125.0,65.0
,Kerim Abzailov,3046958/kerim-abzailov,,,,,,,,
,Nawras Abzakh,4385256/nawras-abzakh,Jordan,,,,,,,
Orthodox,Daniel Acacio,2500722/daniel-acacio,Brazil,,,1977-12-27,,,,
--,Felipe Academy,2516134/felipe-academy,,,,,,,,
,Maui Acantilado,4876397/maui-acantilado,USA,Flyweight,,1992-06-02,,,125.0,65.0
,Corey Ace,3027552/corey-ace,,,,,,,,
,Chris Acevedo,2560744/chris-acevedo,,Bantamweight,,,,,,
,Juan Acevedo,4065423/juan-acevedo,,,,,,,,
,Rosa Acevedo,3917498/rosa-acevedo,USA,,,1988-06-05,,,115.0,62.0
,Iman Achhal,3016405/iman-achhal,,,,,,,,
,Alfredo Achilli,3166627/alfredo-achilli,Italy,,,,,,,
,Austin Achorn,2501379/austin-achorn,,Light Heavyweight,,,,,,
,Barbara Acioly,4232928/barbara-acioly,Brazil,Women's Flyweight,Adois Fight,1993-03-18,,,125.0,68.0
,Bernard Ackah,3037031/bernard-ackah,,,,,,,,
,Landon Ackel,4024481/landon-ackel,,,,,,,,
,Terry Acker,3023809/terry-acker,,,,,,,,
,Troy Acker,3024305/troy-acker,,,,,,,,
,Cole Ackerman,4079309/cole-ackerman,USA,,,,,,,
,Jason Ackerman,3962506/jason-ackerman,,,,,,,,
,Ryan Ackerman,2556512/ryan-ackerman,,,,,,,,
,Chaz Ackles,3948723/chaz-ackles,,,,,,,,
,Matt Acorn,2613458/matt-acorn,,Light Heavyweight,,,,,,
,Bradie Acosta,4237952/bradie-acosta,,,,,,,,
,Buckley Acosta,2431266/buckley-acosta,,,,,,,,
,David Acosta,4193826/david-acosta,USA,,,,,,,
,James Acosta,3089421/james-acosta,,Featherweight,,,,,,
,Jorge Acosta,3003115/jorge-acosta,,,,,,,,
,Mike Acosta,3023803/mike-acosta,,,,,,,,
,Nayra Acosta,4071377/nayra-acosta,,,,,,,,
,Omar Acosta,4339132/omar-acosta,,,,,,,,
,Ralph Acosta,2514198/ralph-acosta,USA,Bantamweight,,1981-04-16,,,125.0,66.0
,Adam Acquaviva,3112008/adam-acquaviva,USA,,Syndicate MMA,1992-07-10,,,135.0,66.0
,Laszlo Acs,3103423/laszlo-acs,,,,,,,,
,Daniel Acuna,4341647/daniel-acuna,Mexico,,,,,,,
,Eric Acuna,2506563/eric-acuna,,,,,,,,
,Fabian Acuna,3027346/fabian-acuna,,Lightweight,,,,,,
,Jose Acuna,3154820/jose-acuna,,,,,,,,
,Akihiko Adachi,4059077/akihiko-adachi,Japan,,,,,,,
,Takumi Adachi,2594314/takumi-adachi,,,,,,,,
,Amirkhan Adaev,3895518/amirkhan-adaev,Russia,,,,,,,
,Marco Adamballi,2959437/marco-adamballi,,,,,,,,
,Sergey Adamchuk,3084479/sergey-adamchuk,,,,,,,,
,Pete Adamcik,3031266/pete-adamcik,,,,,,,,
,Peter Adamcik,2971463/peter-adamcik,,,,,,,,
,Krzysztof Adamczyk,4373262/krzysztof-adamczyk,Poland,,,,,,,
,Jesus Adame,2966656/jesus-adame,,,,,,,,
,Beno Adamia,4286774/beno-adamia,Georgia,,,,,,,
Orthodox,Anthony Adams,4359111/anthony-adams,USA,Middleweight,Elevation Fight Team,1988-01-13,Sugafoot,77.0,185.0,73.0
,Arnold Adams,4215341/arnold-adams,,,,,,,,
,Brandon Adams,2570366/brandon-adams,,Welterweight,,,,,,
,Chris Adams,2964413/chris-adams,,,,,,,,
,Daron Adams,3173595/daron-adams,,,,,,,,
,Devin Adams,4878803/devin-adams,USA,Middleweight,,1987-05-27,,,,
,Donte Adams,3143556/donte-adams,,,,,,,,
,Dustin Adams,3164112/dustin-adams,USA,,,1983-09-07,,,,
,Fabiano Adams,2555144/fabiano-adams,,,,,,,,
,Grisha Adams,4079326/grisha-adams,England,,,,,,,
,Johnny Adams,4330037/johnny-adams,,,,,,,,
,Jon Adams,4891027/jon-adams,USA,Flyweight,,1993-03-27,,,125.0,67.0
Orthodox,Juan Adams,4292650/juan-adams,USA,Heavyweight,Paradigm Training Center,1992-01-16,The Kraken,80.0,266.0,77.0
,Kevin Adams,3087865/kevin-adams,,Welterweight,,,,,,
,Kolby Adams,3953402/kolby-adams,,,,,,,,
,LJ Adams,4040198/lj-adams,,,,,,,,
,Luke Adams,4020543/luke-adams,,,,,,,,
,Mark Adams,3088202/mark-adams,England,Featherweight,Team Kaobon,,,,,
,Michael Adams,3026117/michael-adams,,,,,,,,
,Mike Adams,3022153/mike-adams,Canada,Bantamweight,Toshida MMA,,,,,
,Randall Adams,3106281/randall-adams,,Lightweight,,,,,,
,Reggie Adams,4861605/reggie-adams,USA,,,,,,145.0,70.0
,Reginald Adams,4566284/reginald-adams,USA,,,,,,135.0,70.0
Southpaw,Scott Adams,2558110/scott-adams,,Heavyweight,,,,,,
,Steve Adams,2515788/steve-adams,,Featherweight,,,,,,
,Tori Adams,3041847/tori-adams,,,,,,,,
,Travis Adams,2506561/travis-adams,,Welterweight,,,,,,
,Tyris Adams,4797681/tyris-adams,,,,,,,,
,Brandon Adamson,2498869/brandon-adamson,,,,,,,,
,Takahiro Adaniya,4346485/takahiro-adaniya,,,,,,,,
,Tomohiro Adaniya,4215178/tomohiro-adaniya,,,,,,,,
,Anderson Adao,4421762/anderson-adao,Brazil,,,,,,,
,Arda Adas,4275054/arda-adas,Germany,Welterweight,,1992-04-22,Warrior,,170.0,72.0
Southpaw,Zarrukh Adashev,4683807/zarrukh-adashev,Uzbekistan,Flyweight,Lions Fight Martial Arts,1992-07-29,The Lion,65.0,125.0,65.0
,Krzysztof Adaszak,3046961/krzysztof-adaszak,,,,,,,,
,James Adcock,4878435/james-adcock,USA,Featherweight,,1988-08-30,,,145.0,69.0
,Rafael Addario Bastos,3038062/rafael-addario-bastos,,,,,,,,
,Jamie Addie,3077955/jamie-addie,,,,,,,,
,Chris Ade,3020116/chris-ade,,,,,,,,
,Dmitriy Adeev,4364230/dmitriy-adeev,,,,,,,,
,Slade Adelbai,2996694/slade-adelbai,Northern Marianas,,,,,,,
,Michell Adelina,4566979/michell-adelina,,,,,,,,
,Marvin Ademaj,4407603/marvin-ademaj,,,,,,,,
,Shola Adeniran,3115756/shola-adeniran,,,,,,,,
Switch,Israel Adesanya,4285679/israel-adesanya,Nigeria,Middleweight,City Kickboxing,1989-07-22,The Last Stylebender,80.0,185.0,76.0
,Pelu Adetola,3957802/pelu-adetola,England,,,,,,,
,Alpamys Adiatov,4896572/alpamys-adiatov,Kazakhstan,Bantamweight,,1994-03-11,,,,
,Lito Adiwang,3893071/lito-adiwang,Philippines,Flyweight,Lakay MMA,1993-03-23,,,125.0,64.0
,Asael Adjoudj,4894845/asael-adjoudj,France,Featherweight,SBG Ireland,1999-01-16,,71.5,145.0,72.0
,Andrew Adkins,4422216/andrew-adkins,,,,,,,,
,Derrick Adkins,4077476/derrick-adkins,USA,Lightweight,,1989-12-12,,,,
,Gemiyale Adkins,2558611/gemiyale-adkins,USA,,,1982-12-09,Baby Hercules,,,
,George Adkins,2499292/george-adkins,,Lightweight,,,Rat,,,
Orthodox,Sam Adkins,2504612/sam-adkins,,Light Heavyweight,,,,,,
,Beau Admire,4607639/beau-admire,,,,,,,,
,Rebecca Adney,4289252/rebecca-adney,USA,Strawweight,,,,64.5,115.0,65.0
,Abdumonim Adoli,3165903/abdumonim-adoli,,,,,,,,
,Evelyn Adomulyte,4407565/evelyn-adomulyte,,,,,,,,
,Monique Adriane,4585711/monique-adriane,Brazil,,,1996-06-25,,,105.0,63.0
,Jeremiah Adriano,2555308/jeremiah-adriano,,Light Heavyweight,,,,,,
,Jose Adriano,2555670/jose-adriano,,Bantamweight,,,,,,
,Munil Adriano,3020446/munil-adriano,Brazil,,,1983-03-12,,,,
,Mike Adsit,2557998/mike-adsit,,Middleweight,,,,,,
,Marcel Adur,3172618/marcel-adur,Brazil,Flyweight,,1991-12-17,,,,
,Timur Aduzov,4869986/timur-aduzov,Russia,,,,,,,
,Rakan Adwan,4389639/rakan-adwan,,,,,,,,
,Rasul Adzhiev,4709174/rasul-adzhiev,Russia,,,,,,,
,Koffi Adzitso,2617561/koffi-adzitso,USA,,,,The Lion King,,,
,Peter Aerts,4032400/peter-aerts,,,,,,,,
,Alan Aeschlimann,3087848/alan-aeschlimann,,Welterweight,,,,,,
,Vladimir Afanasenko,3956799/vladimir-afanasenko,,,,,,,,
,Beslan Afashagov,4320687/beslan-afashagov,,,,,,,,
,Abeku Afful,3166177/abeku-afful,,,,,,,,
,Tiago Afonso,4421759/tiago-afonso,Brazil,,,,,,,
,Baga Agaev,2967031/baga-agaev,Russia,Heavyweight,,1985-03-19,,,,
,Elnur Agaev,4285675/elnur-agaev,,,,,,,,
,Emin Agaev,4713480/emin-agaev,,,,,,,,
,Magomedbag Agaev,4229727/magomedbag-agaev,Russia,,,,,,250.0,70.0
,Selim Agaev,4686722/selim-agaev,Germany,Welterweight,,1994-04-22,Borz,,,
,Alexander Agafonov,2966181/alexander-agafonov,,,,,,,,
Orthodox,Nick Agallar,2502592/nick-agallar,,Lightweight,,,,,,
Southpaw,Mariya Agapova,4426285/mariya-agapova,Kazakhstan,Women's Flyweight,American Top Team,1997-04-07,,68.5,125.0,66.0
,Azer Agayev,3103620/azer-agayev,,,,,,,,
,AJ Agazarm,4411087/aj-agazarm,USA,Featherweight,,1990-07-26,,,145.0,68.0
,Danny Ageday,4406163/danny-ageday,,,,,,,,
,Derrick Ageday,4683652/derrick-ageday,USA,Welterweight,,1990-01-19,,,160.0,72.0
,Robert Agee,3164879/robert-agee,,,,,,,,
,Yvon Agenord,4285669/yvon-agenord,USA,Bantamweight,,1984-11-05,,,,
,Tim Ager,3084296/tim-ager,,,,,,,,
,Magomednur Aglarov,4294929/magomednur-aglarov,Russia,,,,,,,
,Batraz Agnaev,4237916/batraz-agnaev,Russia,Light Heavyweight,Alexander Nevsky Club,,,,205.0,76.0
,Todd Agosta,2593974/todd-agosta,,,,,,,,
,Joseph Agostini,4253087/joseph-agostini,,,,,,,,
,Arthur Agranat,4687611/arthur-agranat,Russia,Featherweight,,,,,,
,Rolandas Agrba,3019164/rolandas-agrba,,,,,,,,
,Jose Aguayo,4294505/jose-aguayo,USA,Featherweight,Nick Diaz Academy,,,,145.0,70.0
,Vinicius Agudo,3027535/vinicius-agudo,,,,,,,,
,Maria Aguero,4330059/maria-aguero,,,,,,,,
,Daniel Aguiar,3672715/daniel-aguiar,,,,,,,,
,Fabio Aguiar,4334743/fabio-aguiar,Brazil,,,1988-02-10,,,185.0,72.0
,Jainne Lais Aguiar,4871204/jainne-lais-aguiar,Brazil,,,2000-05-15,,,115.0,62.0
,Jhon Aguiar,4325638/jhon-aguiar,Brazil,,,,,,,
,Juliana Aguiar,3024382/juliana-aguiar,,,,,,,,
,Lucio Aguiar,2559806/lucio-aguiar,,Light Heavyweight,,,,,,
Orthodox,Marcelo Aguiar,2488869/marcelo-aguiar,,Welterweight,,,,,,
,Mayara Aguiar,4010400/mayara-aguiar,,,,,,,,
,Thiago Aguiar dos Santos,4079323/thiago-aguiar-dos-santos,Brazil,,,,,,,
,Charles Mariano Aguida,3901135/charles-mariano-aguida,Brazil,,,,,,,
,Ulyses Aguila,4080405/ulyses-aguila,USA,Bantamweight,,,,,,
,Alejandro Aguilar,3952987/alejandro-aguilar,Mexico,,,,,,,
,Andrew Aguilar,3948573/andrew-aguilar,,,,,,,,
,Armando Aguilar,4355910/armando-aguilar,,,,,,,,
,Dino Aguilar,3961419/dino-aguilar,,,,,,,,
,Edwin Aguilar,2431303/edwin-aguilar,,Welterweight,,,,,,
,Gil Aguilar,2989174/gil-aguilar,,,,,,,,
,Gilberto Aguilar,3118896/gilberto-aguilar,,,,,,,,
Orthodox,Jessica Aguilar,2559933/jessica-aguilar,USA,Women's Strawweight,American Top Team,1982-05-08,Jag,63.0,115.0,63.0
Orthodox,Kevin Aguilar,2555540/kevin-aguilar,USA,Featherweight,Longview MMA,1988-09-07,Angel of Death,73.0,145.0,67.0
,Marco Aguilar,4905259/marco-aguilar,,,,,,,,
,Mario Aguilar,4687599/mario-aguilar,USA,Featherweight,,,The Infamous Spider,,145.0,67.0
,O.J. Aguilar,3039020/oj-aguilar,,,,,,,,
,Rudy Aguilar,2557514/rudy-aguilar,,Middleweight,,,,,,
,Oscar Rene Aguilar Alvarado,4039712/oscar-rene-aguilar-alvarado,,,,,,,,
,Aidan Aguilera,4697571/aidan-aguilera,Australia,Lightweight,,,,,155.0,71.0
Switch,Christian Aguilera,3953379/christian-aguilera,USA,Welterweight,Team Oyama,1991-11-25,The Beast,72.0,170.0,69.0
,Ashley Aguirre,3154902/ashley-aguirre,,,,,,,,
,Daniel Aguirre,2975299/daniel-aguirre,,Bantamweight,,,,,,
,David Aguirre,2555200/david-aguirre,,Bantamweight,,,,,,
,Robert Aguirre,4033452/robert-aguirre,USA,,,1989-09-24,,,,
,Luan Aguirre Elias,4881392/luan-aguirre-elias,Brazil,,,,,,73.0,73.0
,Arbi Agujev,3060892/arbi-agujev,Austria,Welterweight,,1987-12-07,Monster,,170.0,72.0
,A.J. Aguon,3032058/aj-aguon,,,,,,,,
,Kyle Aguon,3083868/kyle-aguon,Guam,Featherweight,,1989-04-14,,,145.0,69.0
,Sam Agushi,4897875/sam-agushi,USA,,,,,,,
,Kevin Agussol,4879555/kevin-agussol,France,,,,,,,
,Michelle Agustin,2965513/michelle-agustin,,,,,,,,
,Milan Ahady,4895357/milan-ahady,England,Lightweight,,,,,,
,Denis Ahern,4024131/denis-ahern,Ireland,,,,,,,
,Martin Ahlberg,2969988/martin-ahlberg,Sweden,Lightweight,,,,,,
,Joe Ahlert,2500858/joe-ahlert,,Lightweight,,,,,,
,Bashir Ahmad,4232028/bashir-ahmad,,,,,,,,
,Ihmad Ahmad,4815969/ihmad-ahmad,Netherlands,,,,,,,
,Salaiman Ahmadyar,4648219/salaiman-ahmadyar,,,,,,,160.0,69.0
,Mikko Ahmala,4413542/mikko-ahmala,Finland,,,1992-04-08,,,,
,Zelimkhan Ahmatkhanov,4401350/zelimkhan-ahmatkhanov,,,,,,,,
,Ola Ahmed,4840107/ola-ahmed,Egypt,,,,,,,
,Ajlin Ahmic,3017904/ajlin-ahmic,,,,,,,,
,Jae Young Ahn,4701956/jae-young-ahn,South Korea,,,,,,170.0,71.0
,Sang II Ahn,3031809/sang-ii-ahn,,,,,,,,
,Seong Yeol Ahn,2996699/seong-yeol-ahn,South Korea,,,,,,,
,Dominic Ahnee,3162022/dominic-ahnee,,,,,,,,
,Enis Ahouli,4407606/enis-ahouli,Italy,,,1986-12-07,,,,
,Per Ahrens,4425522/per-ahrens,,,,,,,,
,Tom Ahrens,2555154/tom-ahrens,USA,Featherweight,,1986-12-26,,,,
,Murat Aibazov,3956809/murat-aibazov,,,,,,,,
,Aibek Aibek Uulu,4422102/aibek-aibek-uulu,,,,,,,,
,Eliza Aidaralieva,3957630/eliza-aidaralieva,,,,,,,,
,Andy Aiello,3906317/andy-aiello,,,,,,,,
,Yuya Aikawa,3999685/yuya-aikawa,,,,,,,,
,Charleston Aiken,4389249/charleston-aiken,Northern Marianas,,,,The Predator,,,
,Aydin Aikhan,4348600/aydin-aikhan,Turkey,,,,,,,
,Jiaerken Ailimubai,4894698/jiaerken-ailimubai,China,,,,,,,
,Antonio Ailton Borges da Silva,4379329/antonio-ailton-borges-da-silva,Brazil,,,,,,,
,Steve Aimable,4320928/steve-aimable,England,Welterweight,BKK Fighters,1987-08-21,Diddy Kong,,170.0,67.0
,Muhammad Aiman,4280295/muhammad-aiman,Malaysia,,,1995-02-04,,,145.0,68.0
,Kenneth Aimes,2500571/kenneth-aimes,,,,,,,,
Orthodox,Mike Aina,2431338/mike-aina,USA,Lightweight,,,,,,
,Nate Ainsworth,4227127/nate-ainsworth,USA,,,,,,,
,Ramaz Aioiani,4690505/ramaz-aioiani,Georgia,,,,,,,
,Tua Aiono,4389247/tua-aiono,,,,,,,,
,Kenny Aires,2975555/kenny-aires,,Light Heavyweight,,,,,,
,Jose Airton,4320897/jose-airton,Brazil,,,,,,,
,Abdelali Ait Yachou,4394145/abdelali-ait-yachou,Morocco,,,,,,,
,Umutkan Aitieva,4816282/umutkan-aitieva,Kyrgyzstan,,,,,,115.0,62.0
,Evan Aitkens,2510995/evan-aitkens,,,,,,,,
,Mykola Aivazian,4573989/mykola-aivazian,,,,1989-07-10,,,,
